"","salary","age","elevel","car","zipcode","credit","brand"
"93",82637.26183,59,3,14,8,619,"Belkin"
"95",72667.41821,49,1,17,7,616.85,"Elago"
"96",140305.3489,66,4,2,4,707.1,"Elago"
"97",69257.24864,37,2,20,5,522.34,"Belkin"
"98",28630.12899,35,1,10,6,559.6,"Elago"
"99",61422.57388,50,2,4,6,605.65,"Elago"
"100",79424.7926,63,2,3,0,697.77,"Belkin"
"101",54943.25953,27,1,17,6,563.88,"Elago"
"102",130768.5797,49,2,3,1,663.92,"Elago"
"104",58432.01452,22,2,19,4,664.72,"Belkin"
"105",68520.15365,75,2,5,8,655.88,"Belkin"
"106",51158.74495,40,1,3,0,629.99,"Elago"
"107",150000,43,3,11,5,797.38,"Elago"
"108",46980.88866,55,1,3,7,575.75,"Elago"
"109",122246.6455,65,3,4,8,658.41,"Belkin"
"111",111355.4901,70,3,13,7,665.41,"Belkin"
"112",119767.687,78,4,14,2,713.26,"Belkin"
"113",40879.52277,37,2,3,1,553.17,"Elago"
"114",39493.85501,26,2,20,5,502.04,"Elago"
"115",36539.8605,71,2,19,1,621.14,"Elago"
"116",58151.0143,21,1,18,2,626.92,"Elago"
"117",118124.6416,41,4,3,5,720.08,"Belkin"
"118",90543.74037,24,2,1,5,622.32,"Elago"
"119",48407.23949,62,2,8,1,609.39,"Belkin"
"120",145741.042,46,3,11,8,693.87,"Elago"
"121",116461.703,70,4,3,3,765.26,"Elago"
"122",100278.3045,68,2,20,7,583.16,"Elago"
"123",117856.3704,72,2,14,2,679.45,"Belkin"
"124",105599.8079,61,2,13,1,761,"Belkin"
"126",43757.70778,32,2,20,6,483.42,"Elago"
"127",118838.7513,54,4,13,5,667.12,"Belkin"
"130",112738.5274,74,2,16,5,732.38,"Elago"
"131",28686.45192,68,1,15,7,527.82,"Belkin"
"134",20000,28,2,18,4,537.9,"Elago"
"135",125839.9403,75,2,2,4,796.47,"Belkin"
"136",122301.0743,54,3,6,2,784.08,"Belkin"
"137",48670.76233,23,1,8,8,488.48,"Belkin"
"139",70805.31042,80,2,1,3,672.6,"Belkin"
"140",21567.43106,68,2,18,0,532.71,"Belkin"
"141",55218.01532,64,2,17,8,496.06,"Belkin"
"142",50977.2587,67,1,6,4,501.85,"Belkin"
"144",31133.92295,51,1,18,1,563.13,"Elago"
"146",46827.06295,68,2,19,7,549.4,"Belkin"
"148",21947.83252,62,1,8,8,483.45,"Elago"
"149",130083.2935,48,3,14,7,658.89,"Elago"
"151",20000,20,2,8,3,521.81,"Elago"
"154",115646.6362,34,2,10,2,734,"Elago"
"155",68762.76949,23,2,5,2,556.68,"Belkin"
"156",128751.1452,66,2,2,0,770.65,"Belkin"
"157",105795.4407,59,3,10,2,698.07,"Elago"
"159",81355.02325,53,3,16,6,538.97,"Belkin"
"160",92571.95927,73,3,15,1,685.39,"Elago"
"161",47590.82397,38,2,20,6,476.49,"Elago"
"162",140634.9444,31,4,1,7,803.69,"Elago"
"164",83949.29034,50,3,10,3,705.05,"Belkin"
"165",119334.7901,75,3,3,4,625.76,"Elago"
"166",135785.214,34,3,14,7,670.97,"Elago"
"167",97947.03652,62,3,13,1,611,"Elago"
"168",93556.99758,48,3,1,5,724.02,"Belkin"
"169",48878.61217,35,2,20,4,511.77,"Elago"
"170",67854.08356,67,3,8,6,514.19,"Belkin"
"171",132251.1503,61,2,1,6,657.19,"Belkin"
"175",48882.32406,54,1,3,5,549.83,"Elago"
"180",104428.7746,78,3,4,1,730.06,"Belkin"
"181",148384.9667,32,3,11,5,831.49,"Elago"
"183",115334.5828,78,2,6,4,733.15,"Belkin"
"184",116247.4278,78,2,13,3,620.99,"Elago"
"187",88974.95706,38,2,6,6,589.48,"Belkin"
"188",117893.0647,79,2,3,8,788.43,"Belkin"
"189",135301.155,59,3,12,0,808.66,"Belkin"
"190",83030.9673,77,2,4,0,644.27,"Elago"
"192",98895.14806,78,2,14,5,752.59,"Elago"
"193",127107.6431,46,4,19,6,641.41,"Elago"
"195",123093.4084,36,3,17,2,718.42,"Elago"
"196",149139.8535,71,3,14,5,795.82,"Elago"
"198",78336.9655,55,2,3,3,685.68,"Belkin"
"200",47482.81004,37,2,16,8,549.19,"Elago"
"202",119702.7614,59,2,3,4,728.5,"Belkin"
"204",131675.1106,68,3,19,7,753.67,"Elago"
"205",79115.9205,25,2,1,4,554.97,"Elago"
"207",112431.2176,64,3,20,1,761.65,"Belkin"
"208",67515.10977,45,2,3,2,523.43,"Elago"
"209",28830.64774,53,2,18,2,545.84,"Elago"
"210",133669.6627,31,3,17,8,715.01,"Elago"
"211",128891.4019,41,3,4,8,661.98,"Elago"
"213",48957.43675,23,1,4,3,495.02,"Belkin"
"214",38767.56776,79,2,3,3,501.21,"Elago"
"215",141349.0909,21,4,11,4,670.91,"Elago"
"216",52232.14008,40,1,7,4,644.09,"Elago"
"217",95137.61019,69,2,20,3,600.5,"Belkin"
"219",69295.05419,77,2,19,6,694.95,"Belkin"
"220",37333.97839,35,2,17,2,465.92,"Elago"
"222",130348.9796,72,4,7,2,737.44,"Elago"
"225",47370.01173,33,2,10,0,572.59,"Elago"
"226",150000,73,3,11,7,763.76,"Elago"
"228",105837.8633,60,2,2,8,762.67,"Belkin"
"229",145409.6872,22,3,16,3,801.76,"Elago"
"230",55585.66981,29,2,1,5,655.23,"Belkin"
"232",63457.65527,43,2,20,2,566.55,"Elago"
"235",124751.8636,46,3,13,2,732.04,"Elago"
"236",47910.75531,31,2,12,3,518.47,"Elago"
"237",90905.83743,58,2,19,2,721.07,"Elago"
"238",23987.31653,67,2,20,5,459.12,"Belkin"
"239",104303.4965,27,3,7,3,614.06,"Elago"
"241",58686.11753,72,3,16,8,676.74,"Belkin"
"242",88387.43138,80,2,3,1,581.96,"Belkin"
"243",100030.4649,41,2,13,1,574.2,"Belkin"
"244",134392.667,56,2,9,8,660.56,"Elago"
"245",37233.58616,20,1,19,8,572.98,"Elago"
"246",44966.06835,48,2,8,5,543.81,"Elago"
"248",80215.38387,71,3,6,1,596.43,"Belkin"
"249",66426.98508,20,2,3,5,653.31,"Elago"
"250",114021.902,56,3,17,8,691.46,"Belkin"
"251",64556.60827,62,2,7,4,572.52,"Belkin"
"254",90081.9543,35,2,2,0,580.39,"Belkin"
"255",25522.80927,60,2,7,1,596.93,"Belkin"
"257",61423.39355,38,3,15,3,644.12,"Elago"
"258",54596.65289,46,2,10,3,644.62,"Elago"
"259",126564.8157,25,2,7,7,746.75,"Elago"
"261",35217.97023,29,2,6,7,485.67,"Elago"
"262",108820.5319,66,3,1,6,602.53,"Belkin"
"263",63875.80836,45,2,15,5,570.2,"Elago"
"265",87164.14369,71,2,19,0,619.66,"Belkin"
"266",132894.6915,69,3,2,5,684.3,"Belkin"
"267",53633.30109,54,2,8,6,561.78,"Elago"
"268",32417.33493,75,1,15,3,601.4,"Belkin"
"270",140924.8071,80,3,11,0,759.4,"Elago"
"272",93768.95176,72,2,6,6,580.63,"Elago"
"273",138411.7918,45,4,1,0,658.07,"Elago"
"274",109862.92,47,2,14,7,649.5,"Belkin"
"275",87547.4446,78,2,18,3,696.98,"Elago"
"276",125376.2856,61,3,14,8,711.44,"Belkin"
"277",94969.21893,69,3,16,5,740.3,"Elago"
"278",124080.3951,63,4,13,0,637.05,"Belkin"
"279",74710.23742,35,2,16,8,552.15,"Belkin"
"280",134383.7243,43,2,12,6,807.96,"Elago"
"283",143981.7807,45,4,8,3,684.32,"Elago"
"285",135136.119,45,3,7,8,652.07,"Elago"
"286",34465.24816,52,2,18,1,528.42,"Elago"
"292",74786.76214,80,2,5,3,548.44,"Belkin"
"295",82012.41628,24,2,3,5,598.41,"Elago"
"298",126553.5415,30,2,6,1,770.67,"Elago"
"299",107117.8787,28,3,2,6,719.73,"Elago"
"304",105042.0313,36,3,6,8,594.26,"Belkin"
"305",122237.4123,49,4,12,5,762.77,"Elago"
"306",63038.53543,51,2,7,6,539.48,"Elago"
"307",23624.55037,36,2,18,0,586.83,"Elago"
"308",84549.37544,43,2,15,0,646.83,"Belkin"
"309",29976.84596,20,2,15,0,584.15,"Elago"
"310",58078.85302,78,1,10,0,538.25,"Elago"
"312",103243.9011,48,2,2,5,679.94,"Belkin"
"313",34915.86608,32,2,15,7,579.61,"Elago"
"314",82343.15978,28,2,4,2,696.37,"Belkin"
"315",89807.61694,55,3,9,4,719.88,"Belkin"
"316",32263.10758,36,2,18,1,451.79,"Elago"
"317",25658.91522,52,1,18,7,456.25,"Elago"
"318",150000,44,4,20,6,778.14,"Elago"
"322",20000,33,2,7,4,531.36,"Elago"
"323",42163.49568,47,1,10,4,469.01,"Elago"
"326",38183.68137,44,2,8,4,533.03,"Elago"
"327",103027.4443,49,3,3,0,625.61,"Belkin"
"329",71536.45894,72,2,15,1,605.81,"Elago"
"330",27989.16787,37,1,20,5,458.65,"Elago"
"332",127367.2236,78,2,3,2,716.76,"Elago"
"333",100709.9223,68,3,19,4,635.84,"Belkin"
"337",125548.1075,47,3,3,7,657.42,"Elago"
"338",131557.0493,20,3,3,8,711.23,"Elago"
"339",73583.59946,29,3,1,2,549.02,"Belkin"
"340",120115.9191,48,3,2,2,631.25,"Belkin"
"345",38922.79296,33,2,8,5,612,"Elago"
"346",46027.98976,35,1,6,1,567.01,"Elago"
"347",123724.6806,78,3,20,7,633.56,"Elago"
"349",82160.86563,68,3,14,0,652.06,"Elago"
"350",59044.1758,68,2,10,1,534.98,"Elago"
"352",79597.31919,70,3,18,4,579.25,"Elago"
"355",146802.6126,33,3,4,3,815.05,"Elago"
"358",117972.8844,73,4,1,7,667.3,"Belkin"
"360",70145.31616,51,1,7,3,534.58,"Elago"
"361",23020.05271,57,2,15,3,479.46,"Belkin"
"362",39839.38021,24,1,17,3,611.67,"Elago"
"363",91265.49502,41,2,7,6,574.78,"Belkin"
"365",55889.91013,68,1,6,4,548.77,"Belkin"
"366",115626.9594,24,2,9,2,784.06,"Elago"
"368",133534.8161,37,3,5,3,780.97,"Elago"
"370",43483.00617,53,2,5,0,636.55,"Elago"
"371",142760.7654,62,3,3,1,775.5,"Elago"
"373",105840.6147,27,3,8,7,628.93,"Elago"
"375",142988.0624,76,3,9,5,674.37,"Belkin"
"377",103780.1125,52,2,4,8,644.38,"Belkin"
"382",132326.5762,78,3,8,0,668.59,"Elago"
"384",94010.13427,51,2,12,3,654.13,"Belkin"
"386",67069.48215,27,1,20,8,619.21,"Elago"
"387",27068.47894,55,1,18,3,579.1,"Elago"
"388",20000,25,1,15,2,506.92,"Belkin"
"391",72619.64172,20,3,8,4,562,"Belkin"
"392",135945.736,50,3,13,1,728.14,"Elago"
"393",72267.03782,52,2,8,2,592.43,"Elago"
"394",121889.5719,60,4,3,5,705.93,"Belkin"
"395",78782.0755,45,3,1,5,536.37,"Belkin"
"397",87159.6554,39,2,9,6,722.93,"Belkin"
"398",88079.26954,73,2,1,1,686.85,"Elago"
"407",37456.70279,57,2,20,0,613.42,"Belkin"
"408",69913.3906,58,2,7,8,562.26,"Belkin"
"409",76769.95396,75,2,18,8,565.41,"Belkin"
"410",103104.2922,67,3,20,4,612.98,"Belkin"
"414",103326.425,80,2,14,4,737.09,"Elago"
"415",142392.6089,52,3,11,7,694.15,"Elago"
"417",34790.64376,44,1,18,7,583.29,"Elago"
"419",101065.2903,29,3,14,1,730.19,"Belkin"
"420",40229.30615,78,2,3,3,631.96,"Belkin"
"421",132543.2098,20,3,12,4,769.34,"Elago"
"423",129373.0967,48,2,3,8,646.17,"Elago"
"424",133521.7004,50,2,13,8,786.24,"Elago"
"428",71919.88081,23,2,6,5,654.15,"Belkin"
"431",71795.11511,65,2,1,5,528.85,"Belkin"
"432",107933.3284,28,2,7,6,629.97,"Elago"
"433",61787.02396,33,1,3,3,541.05,"Elago"
"437",43910.58005,67,2,19,6,487.82,"Belkin"
"438",122899.5779,39,3,14,0,630.14,"Elago"
"439",24391.42952,53,2,18,3,514.26,"Elago"
"440",118272.7701,29,4,7,5,648.59,"Elago"
"441",47375.70132,68,2,8,2,565.5,"Elago"
"442",55284.78479,59,1,19,2,518.32,"Belkin"
"443",99944.25902,49,3,10,5,630.25,"Belkin"
"444",49336.02111,60,2,15,5,617.61,"Belkin"
"445",110284.7796,23,3,6,0,659.78,"Elago"
"446",99885.11589,65,3,6,1,582.25,"Elago"
"447",137737.4744,66,3,13,4,762.84,"Elago"
"448",141700.0305,63,3,11,3,750.66,"Belkin"
"449",113929.3439,61,2,12,0,670.37,"Belkin"
"451",128890.9982,63,4,2,4,670.27,"Elago"
"452",146965.2472,69,4,3,7,780.64,"Elago"
"453",37469.15113,57,2,8,7,567.81,"Belkin"
"455",89811.45235,24,2,13,7,707.57,"Belkin"
"457",106050.3406,41,3,4,3,708.27,"Belkin"
"458",93223.76596,26,2,12,2,665.59,"Belkin"
"459",90674.2403,27,2,9,7,561.29,"Belkin"
"460",113349.0798,36,3,17,8,643.4,"Elago"
"462",111036.796,68,3,5,0,737.7,"Belkin"
"463",39058.9303,49,1,17,0,582.49,"Elago"
"467",116770.8716,30,4,1,7,755.13,"Elago"
"470",117274.6451,50,3,3,3,726.3,"Belkin"
"471",28064.53467,43,2,18,7,482.42,"Elago"
"472",81503.74055,37,3,20,2,698.34,"Belkin"
"475",90366.84829,34,2,15,2,612.24,"Belkin"
"476",137613.4356,75,3,10,2,771.85,"Belkin"
"482",105764.4926,36,3,6,1,739,"Elago"
"485",42176.47301,75,1,17,2,532.68,"Belkin"
"487",79612.43431,21,2,13,6,619.91,"Belkin"
"488",50980.31217,27,1,15,1,606.08,"Elago"
"489",36320.3074,62,2,19,8,620.64,"Belkin"
"491",65442.63055,57,3,3,3,672.2,"Belkin"
"493",21487.79049,39,1,15,1,556.64,"Elago"
"497",97077.2628,67,2,13,6,594.85,"Elago"
"498",60644.84945,52,2,6,5,632.64,"Elago"
"499",20691.16119,20,1,4,0,582.27,"Elago"
"500",146349.8293,28,4,4,0,769.07,"Elago"
"502",143316.3593,45,3,2,3,771.07,"Elago"
"503",110613.4558,71,3,8,3,653.13,"Belkin"
"504",68336.08688,75,2,18,3,529.25,"Belkin"
"505",59566.91214,50,2,20,6,510.64,"Elago"
"506",73393.17788,72,2,19,6,548.36,"Belkin"
"507",42830.49832,71,2,8,2,633.35,"Belkin"
"509",66169.89555,32,3,3,3,597.44,"Belkin"
"510",65138.7028,54,1,8,8,675.93,"Belkin"
"511",84585.47584,31,3,15,3,649.53,"Belkin"
"512",33765.22413,50,1,6,3,485.64,"Elago"
"513",125877.1804,64,3,13,6,790.53,"Belkin"
"514",64407.53422,38,2,18,6,574.65,"Elago"
"515",104398.6664,28,3,13,4,595.53,"Elago"
"517",43679.96218,37,2,8,3,536.19,"Elago"
"518",64681.24781,54,1,17,5,530.43,"Elago"
"519",44289.39456,59,2,10,1,568.18,"Elago"
"522",137443.8435,74,3,13,6,752.69,"Elago"
"523",63228.44084,35,2,8,0,539.85,"Elago"
"526",64569.24949,43,2,10,7,593.63,"Elago"
"527",82285.49475,52,3,16,5,647.01,"Belkin"
"529",115957.0616,44,3,16,8,680.62,"Belkin"
"530",36361.30054,49,2,7,4,581.76,"Elago"
"531",78224.01623,47,3,2,5,545.29,"Elago"
"532",109982.334,60,3,3,8,701.14,"Belkin"
"533",43907.62235,42,2,3,6,596.32,"Elago"
"534",120607.8063,46,4,1,0,652.14,"Belkin"
"535",58773.95932,44,1,16,2,580.31,"Elago"
"536",55827.9127,46,2,17,1,607.79,"Elago"
"537",54744.77638,72,2,18,2,575,"Belkin"
"538",91711.29002,46,3,5,7,707.58,"Belkin"
"539",101048.3482,31,2,4,7,724.88,"Elago"
"540",85010.11707,64,2,3,6,545.86,"Belkin"
"541",84915.58339,79,2,3,8,626.34,"Elago"
"542",126761.4358,61,2,17,0,624.63,"Elago"
"546",110848.9933,61,3,7,0,775.14,"Elago"
"547",20000,63,1,15,0,541.13,"Belkin"
"549",68246.7925,46,2,1,7,514.24,"Elago"
"552",140824.9441,72,4,20,0,799.82,"Belkin"
"553",136866.9307,80,4,8,8,758.84,"Elago"
"554",33489.34118,56,1,18,7,615.74,"Elago"
"555",97098.05164,76,2,19,6,597.86,"Belkin"
"556",96160.32419,56,3,3,2,600.35,"Belkin"
"557",108161.0746,56,2,3,0,738.92,"Belkin"
"558",70978.19691,38,2,7,5,523.77,"Belkin"
"559",143821.8738,48,3,11,8,722,"Elago"
"560",27698.69932,37,2,12,1,459.96,"Elago"
"562",49093.80489,68,3,4,7,628.98,"Belkin"
"563",140191.798,41,4,8,0,744.26,"Elago"
"564",45285.10418,25,1,18,8,599.78,"Elago"
"565",136859.3678,25,2,17,8,689.51,"Elago"
"566",77327.87339,34,2,18,4,633.01,"Belkin"
"567",75378.23465,63,3,5,5,537.51,"Belkin"
"569",129572.2709,44,4,13,6,763.11,"Elago"
"571",131046.7418,65,2,2,4,646.39,"Belkin"
"573",42044.88929,31,1,7,3,582.53,"Elago"
"575",131743.9626,54,2,20,8,728.96,"Elago"
"576",30379.79251,48,2,20,5,489.88,"Elago"
"577",38511.59501,40,2,3,3,631.91,"Elago"
"579",34679.9331,54,2,18,1,483.94,"Elago"
"580",148655.5075,59,3,11,0,698.72,"Belkin"
"581",40052.19314,35,2,12,1,465.8,"Elago"
"583",38067.13677,35,2,20,7,460.28,"Elago"
"584",37854.62392,59,1,7,0,636.17,"Belkin"
"585",125789.3938,26,4,16,5,696.91,"Elago"
"586",90636.2,32,2,16,2,607.19,"Belkin"
"587",113089.0666,41,3,3,8,604.68,"Belkin"
"588",87160.47888,69,2,8,0,691.66,"Elago"
"589",125329.7933,49,2,8,7,756.31,"Elago"
"592",61769.89238,35,2,7,3,569.53,"Belkin"
"593",137625.5538,77,4,7,6,790.38,"Belkin"
"594",141797.3276,76,4,10,1,683.21,"Belkin"
"595",69669.66973,59,3,10,3,575.53,"Belkin"
"597",110825.4028,54,2,16,8,676.92,"Belkin"
"598",148624.7373,60,4,9,8,679.26,"Belkin"
"600",118477.4751,20,3,4,4,665.9,"Elago"
"601",39599.92819,30,2,6,6,517.51,"Elago"
"603",56006.03065,77,3,16,1,573.37,"Belkin"
"604",38902.98332,25,2,8,6,591.75,"Elago"
"605",46789.9263,47,1,15,4,639.88,"Elago"
"609",150000,32,3,11,1,758.57,"Elago"
"611",120233.0347,70,3,16,8,645.17,"Elago"
"612",118880.0517,41,4,2,6,633.3,"Belkin"
"613",49581.80114,41,2,12,8,621.55,"Elago"
"614",28989.01297,72,2,17,1,526.06,"Belkin"
"615",116252.6698,25,3,8,8,621.04,"Elago"
"616",100232.226,35,2,20,6,670.18,"Elago"
"617",102069.5571,54,2,14,2,625.03,"Elago"
"618",76704.49791,33,2,15,3,572.37,"Belkin"
"619",149083.0364,50,4,2,8,796.65,"Elago"
"620",30487.07993,75,2,15,3,495.68,"Elago"
"621",140816.4587,65,4,1,4,686.41,"Belkin"
"622",84266.07129,70,3,4,4,605.63,"Elago"
"623",99605.15321,39,2,3,6,628.12,"Belkin"
"626",47721.68567,20,2,8,7,645.6,"Elago"
"627",123753.4099,34,3,8,4,787.2,"Elago"
"629",103364.1181,25,2,6,2,713.87,"Belkin"
"631",29299.36762,45,2,8,7,555.03,"Elago"
"632",64882.58248,60,3,20,5,507.89,"Belkin"
"633",43455.1536,25,1,15,3,502.39,"Elago"
"636",75361.50496,35,2,3,8,655.49,"Belkin"
"639",91320.34832,76,2,10,5,609.99,"Belkin"
"642",80811.61401,58,2,12,8,644.61,"Belkin"
"643",77468.8675,65,3,20,8,620.87,"Elago"
"644",105147.2611,67,3,14,4,749.82,"Belkin"
"646",102396.9646,28,2,13,3,594.78,"Elago"
"647",116123.7213,64,2,7,3,674.56,"Elago"
"648",74666.08951,70,2,20,7,630.47,"Elago"
"650",87008.74042,47,3,3,6,712.76,"Belkin"
"651",128093.8957,33,4,1,4,697.34,"Elago"
"652",70182.08463,77,1,7,1,682.25,"Belkin"
"654",107743.2887,58,3,13,5,669.32,"Belkin"
"655",129415.2767,70,4,1,6,763.37,"Elago"
"656",57266.97964,48,2,18,2,588.67,"Elago"
"658",123289.1425,52,3,8,3,735.87,"Belkin"
"661",150000,78,3,11,4,760.12,"Belkin"
"663",150000,52,4,11,6,837.23,"Elago"
"664",20000,54,2,18,0,553.58,"Elago"
"665",98295.91757,42,3,13,4,656.19,"Belkin"
"666",129176.3068,48,4,12,7,660.43,"Elago"
"669",31383.57285,26,2,7,2,602.74,"Elago"
"670",22834.22923,68,1,18,7,438.86,"Belkin"
"673",95716.57096,62,3,3,5,632.76,"Elago"
"674",135007.6027,75,3,13,2,778.87,"Belkin"
"675",25097.15752,68,2,15,6,446.24,"Elago"
"676",108644.3682,59,3,3,8,711.35,"Belkin"
"678",129194.6606,64,3,17,4,722.48,"Belkin"
"681",137730.5962,35,3,3,4,659.91,"Elago"
"682",54962.42639,35,2,6,4,619.23,"Belkin"
"684",93040.54304,58,3,8,5,575.06,"Belkin"
"685",102338.4157,28,2,14,6,653.44,"Elago"
"686",97060.89307,67,2,7,7,569.67,"Belkin"
"687",38385.73704,42,2,8,7,583.82,"Elago"
"688",133782.1508,70,4,16,6,729.74,"Belkin"
"689",28057.74945,28,2,18,2,569.75,"Elago"
"691",42324.0406,27,1,16,8,563.45,"Belkin"
"696",92307.4924,43,3,19,2,729.9,"Belkin"
"698",91012.63519,60,2,10,1,686.23,"Belkin"
"699",48711.35125,56,2,20,4,521.58,"Belkin"
"700",146794.549,55,4,12,0,732.63,"Elago"
"701",85594.41054,41,3,17,5,642.09,"Belkin"
"702",81202.97164,60,2,4,3,574.63,"Belkin"
"703",124819.7593,58,4,1,1,749.9,"Belkin"
"704",80274.51206,43,3,6,0,565.32,"Belkin"
"705",129515.4774,44,3,14,1,643.77,"Elago"
"706",49522.58359,38,3,3,0,594.2,"Elago"
"707",45801.67655,64,2,19,6,521.91,"Belkin"
"708",115189.8397,24,3,3,6,616.73,"Elago"
"709",65283.91842,32,3,5,0,643.14,"Belkin"
"710",108106.1232,27,3,8,0,664.74,"Elago"
"711",129492.7077,56,3,1,2,634.87,"Belkin"
"714",147868.3377,52,4,1,2,808.21,"Elago"
"715",49500.26476,29,1,5,4,539.57,"Elago"
"717",126266.4157,38,3,5,7,784.16,"Elago"
"718",27198.36442,48,1,15,3,556.92,"Elago"
"719",108526.3792,53,3,5,0,663.4,"Belkin"
"720",116359.9444,31,4,1,1,619.27,"Elago"
"721",148233.5577,56,4,3,8,721.61,"Belkin"
"722",128928.0473,32,2,12,0,777.31,"Elago"
"723",91209.50283,54,2,19,7,698.78,"Belkin"
"724",142031.3849,65,4,1,2,757.58,"Belkin"
"725",122166.3734,51,4,2,4,777.34,"Belkin"
"726",99599.04265,54,2,17,7,632.95,"Belkin"
"727",34094.68763,26,2,18,4,527.02,"Elago"
"728",26025.73173,30,1,20,1,503.88,"Elago"
"729",103892.1987,20,3,3,3,668.05,"Belkin"
"731",51372.97008,48,1,3,4,620.04,"Elago"
"732",58211.01619,60,2,1,7,675.41,"Belkin"
"733",125083.7927,68,3,17,6,714.92,"Elago"
"734",121257.4098,63,3,2,0,655.79,"Belkin"
"735",20000,49,1,4,1,547.82,"Elago"
"738",36113.58935,56,1,20,2,540.79,"Elago"
"740",76517.85533,75,2,17,4,542.14,"Belkin"
"741",31488.72297,39,1,15,5,510.18,"Elago"
"745",115412.2893,40,3,19,3,763.26,"Belkin"
"747",40566.32307,23,1,6,3,562.22,"Elago"
"748",136977.878,54,2,17,8,770.24,"Elago"
"751",25011.38899,20,2,3,7,534.76,"Elago"
"752",96214.381,33,3,16,3,656.78,"Elago"
"753",20000,20,1,15,8,570.59,"Elago"
"755",106876.7767,64,3,8,3,687.25,"Belkin"
"756",94648.15478,20,2,7,4,597.55,"Elago"
"757",82602.25861,40,2,6,7,575.35,"Belkin"
"758",110398.3692,77,3,14,8,671.66,"Elago"
"759",68442.25799,51,2,5,1,602.23,"Elago"
"763",73201.41088,54,3,4,5,562.09,"Belkin"
"765",105122.6933,47,3,13,7,602.54,"Elago"
"766",150000,75,3,11,2,824.14,"Belkin"
"767",34945.21201,21,2,20,7,481.83,"Elago"
"768",121537.3069,44,3,2,2,675.84,"Belkin"
